# GREAT version 3.0.0	Species assembly: hg19	Association rule: Single nearest gene: 100000 bp max extension, curated regulatory domains included
NA_peak_21486	PDE5A (-68969)
NA_peak_7346	NONE
NA_peak_4061	FAM53B (+35634)
NA_peak_32320	NR0B1 (-54839)
NA_peak_3495	NONE
NA_peak_11470	CCL16 (+7818)
NA_peak_30965	UNC13B (+10980)
NA_peak_30267	SLC30A8 (+24337)
NA_peak_24510	NONE
NA_peak_10956	NONE
NA_peak_8763	NONE
NA_peak_30963	VCP (+376)
NA_peak_16589	CD93 (-6127)
NA_peak_22486	NONE
NA_peak_11431	RAB11FIP4 (+83983)
NA_peak_29342	IDO2 (-10626)
NA_peak_10400	NONE
NA_peak_18191	NONE
NA_peak_18216	NONE
NA_peak_14134	MEIS1 (-1928)
NA_peak_9364	NONE
NA_peak_23585	ELL2 (-26150)
NA_peak_24360	NONE
NA_peak_9357	NONE
NA_peak_1771	NONE
NA_peak_28901	SHH (-60889)
NA_peak_5384	NONE
NA_peak_24191	ZCCHC10 (-6470)
NA_peak_27960	NONE
NA_peak_16330	NONE
NA_peak_8750	NONE
NA_peak_2739	CUBN (-3039)
NA_peak_25891	NONE
NA_peak_3750	FRAT2 (+5742)
NA_peak_8992	NONE
NA_peak_32161	SMPX (-40683)
NA_peak_32188	ZFX (-3889)
NA_peak_30939	NONE
NA_peak_21447	NONE
NA_peak_13499	ASAP2 (-1642)
NA_peak_5785	NONE
NA_peak_17416	RBFOX2 (+18248)
NA_peak_12179	NONE
NA_peak_28652	NONE
NA_peak_6757	EEA1 (-86804)
NA_peak_18568	CADM2 (+20315)
NA_peak_17314	NONE
NA_peak_14779	NONE
NA_peak_26001	POU3F2 (+2466)
NA_peak_6168	PTGES3 (+3910)
NA_peak_25013	NONE
NA_peak_23468	NONE
NA_peak_21900	NONE
NA_peak_5381	BACE1 (+16536)
NA_peak_25314	AARS2 (-128)
NA_peak_6781	TMCC3 (+3129)
NA_peak_12716	NONE
NA_peak_11206	MFSD6L (+76580)
NA_peak_24459	NONE
NA_peak_2149	NONE
NA_peak_29308	NONE
NA_peak_22299	NONE
NA_peak_18580	NONE
NA_peak_19138	ZBTB38 (-63209)
NA_peak_4849	NONE
NA_peak_1109	OLFM3 (+46142)
NA_peak_30268	SLC30A8 (+36001)
NA_peak_20762	SLC4A4 (-2469)
NA_peak_11266	NONE
NA_peak_21770	NONE
NA_peak_9710	NONE
NA_peak_32392	NONE
NA_peak_24571	NONE
NA_peak_15044	NONE
NA_peak_4684	TCN1 (-9770)
NA_peak_392	DHCR24 (+7169)
NA_peak_25158	HIST1H3G (+2017)
NA_peak_2555	NONE
NA_peak_3801	NT5C2 (-11795)
NA_peak_28320	SLC26A3 (-1912)
NA_peak_20732	UGT2B28 (+64480)
NA_peak_20367	NONE
NA_peak_14733	RAB6C (-75399)
NA_peak_13350	BCAM (-12274)
NA_peak_116	RSC1A1 (+1718)
NA_peak_33107	NONE
NA_peak_25769	NONE
NA_peak_20257	NONE
NA_peak_14218	NONE
NA_peak_15918	PIKFYVE (+26114)
NA_peak_17049	NONE
NA_peak_19843	DGKG (-51764)
NA_peak_10559	NONE
NA_peak_30691	TYRP1 (-59858)
NA_peak_29532	CHD7 (+99230)
NA_peak_20573	NONE
NA_peak_12771	DCC (-27657)
NA_peak_16448	FLRT3 (+612)
NA_peak_7089	BRI3BP (-660)
NA_peak_17788	TOP2B (+1052)
NA_peak_12893	NEDD4L (-30500)
NA_peak_34	SLC45A1 (+53010)
NA_peak_32441	NONE
NA_peak_23573	NONE
NA_peak_24122	PRRC1 (-80814)
NA_peak_22149	TLL1 (-76792)
NA_peak_15693	NONE
NA_peak_12012	SOX9 (-65352)
NA_peak_11654	HOXB4 (+1076)
NA_peak_22641	NONE
NA_peak_19716	NONE
NA_peak_6151	SMUG1 (+53448)
NA_peak_22546	CTNND2 (+37203)
NA_peak_22503	ADCY2 (-4835)
NA_peak_11007	ENSG00000214325 (-92989)
NA_peak_7297	HSPH1 (-799)
NA_peak_19060	BFSP2 (+78842)
NA_peak_29068	MTUS1 (+5597)
NA_peak_12666	NONE
NA_peak_3825	NONE
NA_peak_9429	SERPINA1 (-5331)
NA_peak_28033	SEMA3D (-88090)
NA_peak_14663	CNTNAP5 (+65160)
NA_peak_11757	NONE
NA_peak_8928	NONE
NA_peak_7494	NONE
NA_peak_8731	FOXA1 (+7804)
NA_peak_13667	PFN4 (-34881)
NA_peak_9406	NONE
NA_peak_23995	NONE
NA_peak_31670	AMBP (+62635)
NA_peak_29729	NONE
NA_peak_27124	RPA3 (+21685)
NA_peak_20865	FRAS1 (-42562)
NA_peak_17958	ARPP21 (+42104)
NA_peak_19776	NONE
NA_peak_19176	NONE
NA_peak_16395	NONE
NA_peak_893	NONE
NA_peak_10534	MPV17L (+72196)
NA_peak_11518	MLLT6 (-33079)
NA_peak_6149	SMUG1 (+62943)
NA_peak_11498	HNF1B (+34959)
NA_peak_11574	MEOX1 (+21553)
NA_peak_28401	NONE
NA_peak_5371	NONE
NA_peak_9811	NONE
NA_peak_29269	NONE
NA_peak_25788	IBTK (-23187)
NA_peak_17802	NONE
NA_peak_19030	PLXND1 (-77400)
NA_peak_15194	BAZ2B (-1400)
NA_peak_13093	NONE
NA_peak_12823	NONE
NA_peak_9781	SORD (-45087)
NA_peak_9052	SNAPC1 (+92715)
NA_peak_8916	CDKL1 (-51713)
NA_peak_7042	TAOK3 (-173)
NA_peak_29716	NONE
NA_peak_7235	GTF3A (-56785)
NA_peak_12013	SOX9 (-49467)
NA_peak_26746	UTRN (-26726)
NA_peak_10158	GRAMD2 (-13160)
NA_peak_4657	TIMM10 (+3553)
NA_peak_2070	NENF (+66041)
NA_peak_3729	SORBS1 (+59362)
NA_peak_11349	SPECC1 (+763)
NA_peak_31334	NONE
NA_peak_10130	NONE
NA_peak_14517	RGPD3 (-11398)
NA_peak_8558	DHRS4 (+580)
NA_peak_7029	C12orf49 (+3498)
NA_peak_31156	PTAR1 (+11434)
NA_peak_7043	NONE
NA_peak_6153	CBX5 (+41037)
NA_peak_27825	NONE
NA_peak_21458	TRAM1L1 (+60818)
NA_peak_17602	NONE
NA_peak_19940	NONE
NA_peak_14026	NONE
NA_peak_15997	IKZF2 (+23459)
NA_peak_13089	NONE
NA_peak_5549	NONE
NA_peak_1526	NONE
NA_peak_30170	EBAG9 (+40119)
NA_peak_18271	KBTBD8 (-9297)
NA_peak_10457	TRAP1 (+21609)
NA_peak_31854	VAV2 (+63611)
NA_peak_30346	NONE
NA_peak_27802	AUTS2 (+99007)
NA_peak_29808	FABP5 (-243)
NA_peak_30110	NONE
NA_peak_22120	NONE
NA_peak_7353	NONE
NA_peak_11528	NEUROD2 (+28407)
NA_peak_14686	NONE
NA_peak_21354	PITX2 (-17730)
NA_peak_22612	BASP1 (-1325)
NA_peak_14672	NONE
NA_peak_5647	TAS2R42 (-13128)
NA_peak_3358	NONE
NA_peak_32472	GPR82 (+57607)
NA_peak_25102	NONE
NA_peak_811	LPHN2 (+99231)
NA_peak_9940	PYGO1 (-71537)
NA_peak_9356	NONE
NA_peak_4295	NONE
NA_peak_28749	SVOPL (+71127)
NA_peak_20772	NONE
NA_peak_12454	NONE
NA_peak_14691	BIN1 (-27061)
NA_peak_7523	TSC22D1 (-72027)
NA_peak_12108	TMEM105 (-12535)
NA_peak_5388	KMT2A (+1547)
NA_peak_24272	NONE
NA_peak_11680	ACSF2 (-2376)
NA_peak_17686	NONE
NA_peak_14157	NONE
NA_peak_15638	NONE
NA_peak_14604	NONE
NA_peak_7319	FRY (+8931)
NA_peak_2837	PIP4K2A (-70982)
NA_peak_17996	NONE
NA_peak_5320	DLAT (-7041)
NA_peak_11999	NONE
NA_peak_27093	NONE
NA_peak_2213	EPRS (+39062)
NA_peak_30330	FER1L6 (+45862)
NA_peak_23339	HOMER1 (+18425)
NA_peak_24072	NONE
NA_peak_13571	NONE
NA_peak_7700	NONE
NA_peak_3981	PDZD8 (+36545)
NA_peak_12235	SOGA2 (-7076)
NA_peak_11845	NONE
NA_peak_11306	CENPV (+1023)
NA_peak_24653	NONE
NA_peak_11640	NONE
NA_peak_3026	NONE
NA_peak_24432	GALNT10 (+97726)
NA_peak_4109	NONE
NA_peak_25029	NONE
NA_peak_1715	CACNA1E (-84295)
NA_peak_25330	CYP39A1 (+70795)
NA_peak_22514	NONE
NA_peak_24685	NONE
NA_peak_22021	NONE
NA_peak_13949	NONE
NA_peak_9035	MNAT1 (+26125)
NA_peak_8151	NONE
NA_peak_2761	ARL5B (+6981)
NA_peak_28224	DYNC1I1 (+16795)
NA_peak_17381	FBXO7 (-1210)
NA_peak_24086	NONE
NA_peak_13706	NONE
NA_peak_11177	NUP88 (+83)
NA_peak_29348	C8orf4 (+15963)
NA_peak_16935	NONE
NA_peak_980	ALG14 (+58744)
NA_peak_7755	NONE
NA_peak_11382	NLK (+11329)
NA_peak_30162	NONE
NA_peak_2958	NONE
NA_peak_6953	SART3 (-210)
NA_peak_33038	CHRDL1 (+9726)
NA_peak_26517	NONE
NA_peak_23491	NONE
NA_peak_24600	NONE
NA_peak_17541	LRRN1 (-90739)
NA_peak_9823	SLC24A5 (-89394)
NA_peak_9576	OCA2 (-91634)
NA_peak_316	GPBP1L1 (+1934)
NA_peak_5496	NONE
NA_peak_3667	SLC16A12 (-12644)
NA_peak_14756	NONE
NA_peak_29173	DPYSL2 (+80901)
NA_peak_20752	UTP3 (-599)
NA_peak_17633	IQSEC1 (+1149)
NA_peak_16575	FOXA2 (+21175)
NA_peak_2432	MT1HL1 (+80467)
NA_peak_11801	SKA2 (+108)
NA_peak_11479	NONE
NA_peak_24334	NONE
NA_peak_19571	PHC3 (-14333)
NA_peak_32814	NONE
NA_peak_33156	NONE
NA_peak_31783	NR5A1 (-86377)
NA_peak_21561	NONE
NA_peak_18744	NONE
NA_peak_2128	NONE
NA_peak_13570	NONE
NA_peak_31234	PCSK5 (-24401)
NA_peak_17375	SLC5A1 (-31178)
NA_peak_14619	DDX18 (-87225)
NA_peak_20511	NONE
NA_peak_25002	NONE
NA_peak_10115	NONE
NA_peak_5044	NONE
NA_peak_17987	NONE
NA_peak_16605	NONE
NA_peak_11274	HS3ST3B1 (+22672)
NA_peak_18960	STXBP5L (-43348)
NA_peak_11045	NONE
NA_peak_25527	NONE
NA_peak_18567	CADM2 (+17133)
NA_peak_16602	NONE
NA_peak_10377	NR2F2 (-8205)
NA_peak_8630	NONE
NA_peak_7867	NONE
NA_peak_7694	NONE
NA_peak_4547	LRRC4C (-66314)
NA_peak_28431	NONE
NA_peak_21033	SPARCL1 (+1365)
NA_peak_16675	SRC (+50571)
NA_peak_14369	CD8B (-21208)
NA_peak_12514	GAREM (+97998)
NA_peak_7144	CRYL1 (-8526)
NA_peak_11964	MAP2K6 (+52818)
NA_peak_32997	COL4A6 (+20113)
NA_peak_24030	NONE
NA_peak_13894	NONE
NA_peak_12757	MRO (+711)
NA_peak_19554	NONE
NA_peak_14368	CD8B (-7299)
NA_peak_13933	NONE
NA_peak_13608	NONE
NA_peak_8737	NONE
NA_peak_6487	NONE
NA_peak_27700	GRB10 (-89965)
NA_peak_13240	TMEM161A (-151)
NA_peak_13330	GSK3A (-1910)
NA_peak_11616	NPEPPS (+50218)
NA_peak_29349	C8orf4 (+21566)
NA_peak_9506	C14orf144 (+47381)
NA_peak_31503	ALG2 (+49102)
NA_peak_5393	USP2 (+12099)
NA_peak_12907	ZNF532 (+3500)
NA_peak_3468	ZNF503 (-7085)
NA_peak_21759	SETD7 (-2487)
NA_peak_3753	GOLGA7B (+11952)
NA_peak_19216	NONE
NA_peak_11287	NONE
NA_peak_10971	ZFHX3 (-7595)
NA_peak_9926	NONE
NA_peak_5814	ST8SIA1 (+41258)
NA_peak_13466	NONE
NA_peak_1707	XPR1 (-21521)
NA_peak_32707	NONE
NA_peak_32236	NONE
NA_peak_26163	NR2E1 (-9231)
NA_peak_15244	NONE
NA_peak_16897	NONE
NA_peak_12207	NONE
NA_peak_2611	NET1 (+25163)
NA_peak_22358	NONE
NA_peak_5375	NONE
NA_peak_33047	CAPN6 (-66837)
NA_peak_13462	NONE
NA_peak_15628	NONE
NA_peak_5335	NONE
NA_peak_25400	NONE
NA_peak_386	NDC1 (+112)
NA_peak_413	C8A (-101)
NA_peak_6023	NONE
NA_peak_27938	NONE
NA_peak_27723	NONE
NA_peak_23639	NONE
NA_peak_18640	NONE
NA_peak_19318	NONE
NA_peak_14310	NONE
NA_peak_15299	SCN7A (-52655)
NA_peak_8231	NONE
NA_peak_30028	NONE
NA_peak_1610	FMO4 (+70706)
NA_peak_24966	GMPR (-28865)
NA_peak_4138	KRTAP5-6 (-20995)
NA_peak_18429	NONE
NA_peak_17323	CRYBA4 (+19362)
NA_peak_163	EPHB2 (+89860)
NA_peak_7367	NONE
NA_peak_11393	CRYBA1 (+8510)
NA_peak_32430	RPGR (+8764)
NA_peak_30707	NONE
NA_peak_27669	NONE
NA_peak_24304	NONE
NA_peak_17783	RARB (+30656)
NA_peak_15294	NONE
NA_peak_6360	NONE
NA_peak_23506	NONE
NA_peak_2088	PROX1 (+39849)
NA_peak_25829	CGA (-4600)
NA_peak_12566	MAPRE2 (-62982)
NA_peak_17361	UQCR10 (+28481)
NA_peak_11788	MRPS23 (-66433)
NA_peak_29957	NECAB1 (+12460)
NA_peak_26206	WISP3 (-10504)
NA_peak_29023	NONE
NA_peak_513	NONE
NA_peak_33140	ZBTB33 (+19623)
NA_peak_26478	PTPRK (+1971)
NA_peak_23853	NONE
NA_peak_21446	NONE
NA_peak_17749	RPL15 (-2424)
NA_peak_13775	NONE
NA_peak_3150	NONE
NA_peak_12869	NONE
NA_peak_20536	PDGFRA (-63247)
NA_peak_25226	C6orf1 (-36129)
NA_peak_13192	ZNRF4 (+29189)
NA_peak_23067	ACTBL2 (+46866)
NA_peak_14301	NONE
NA_peak_10515	MKL2 (+17166)
NA_peak_9915	NONE
NA_peak_30868	NONE
NA_peak_26799	NONE
NA_peak_22114	NPY5R (+60677)
NA_peak_18459	NONE
NA_peak_16164	SLC19A3 (+27139)
NA_peak_950	MTF2 (+50438)
NA_peak_9931	NONE
NA_peak_12023	NONE
NA_peak_23337	JMY (+65337)
NA_peak_19062	TOPBP1 (-8820)
NA_peak_6015	PRICKLE1 (-85618)
NA_peak_5711	MGST1 (-18073)
NA_peak_130	ACTL8 (-19265)
NA_peak_28704	FAM180A (-52484)
NA_peak_29013	GATA4 (+14630)
NA_peak_11685	TOB1 (-24687)
NA_peak_11190	SLC16A11 (-1884)
NA_peak_27300	HDAC9 (+84884)
NA_peak_27230	NONE
NA_peak_20999	NONE
NA_peak_9337	FLRT2 (-75519)
NA_peak_16337	NONE
NA_peak_9217	ESRRB (-60650)
NA_peak_33326	HPRT1 (+88383)
NA_peak_28185	BET1 (-83533)
NA_peak_18254	SLC25A26 (+48543)
NA_peak_14545	ACOXL (+36166)
NA_peak_12149	NONE
NA_peak_7562	NONE
NA_peak_24834	RIOK1 (+60074)
NA_peak_25033	NONE
NA_peak_20113	PROM1 (+49591)
NA_peak_13317	EGLN2 (+23882)
NA_peak_4495	NONE
NA_peak_12898	NONE
NA_peak_17539	NONE
NA_peak_25317	NONE
NA_peak_30949	ACO1 (-5996)
NA_peak_32005	NONE
NA_peak_30514	NONE
NA_peak_27115	C1GALT1 (-63611)
NA_peak_27526	NONE
NA_peak_20825	AREG (-29114)
NA_peak_17986	NONE
NA_peak_12856	NONE
NA_peak_5920	NONE
NA_peak_1885	NONE
NA_peak_2870	THNSL1 (+20130)
NA_peak_31464	NONE
NA_peak_11104	NONE
NA_peak_4968	NONE
NA_peak_20465	NONE
NA_peak_3931	HABP2 (-11562)
NA_peak_19755	NONE
NA_peak_15927	NONE
NA_peak_62	CLSTN1 (+64372)
NA_peak_11364	DHRS7B (-6857)
NA_peak_3953	ATRNL1 (-63671)
NA_peak_7987	LMO7 (-33592)
NA_peak_22073	NONE
NA_peak_13434	NONE
NA_peak_12242	TWSG1 (+38919)
NA_peak_1555	POU2F1 (+54)
NA_peak_4069	NONE
NA_peak_28005	NONE
NA_peak_24048	ZNF608 (+88412)
NA_peak_22173	SPOCK3 (+38029)
NA_peak_1533	PBX1 (+28621)
NA_peak_28257	CUX1 (+65627)
NA_peak_11851	NACA2 (+9124)
NA_peak_3990	EMX2 (+2167)
NA_peak_26843	NONE
NA_peak_29264	MAK16 (+28839)
NA_peak_17075	NONE
NA_peak_11499	HNF1B (+31997)
NA_peak_11259	HS3ST3A1 (+74212)
NA_peak_32273	NONE
NA_peak_31433	NONE
NA_peak_25454	NONE
NA_peak_15623	NONE
NA_peak_14648	NONE
NA_peak_12447	NONE
NA_peak_8591	NONE
NA_peak_8306	NONE
NA_peak_8375	NONE
NA_peak_6387	NONE
NA_peak_4883	NONE
NA_peak_11985	NONE
NA_peak_4278	C11orf58 (+36575)
NA_peak_20055	NONE
NA_peak_24702	ERGIC1 (+60689)
NA_peak_7381	DCLK1 (-26368)
NA_peak_6105	DNAJC22 (-1819)
NA_peak_18266	NONE
NA_peak_7840	NONE
NA_peak_2126	NONE
NA_peak_4497	NONE
NA_peak_3657	STAMBPL1 (+55313)
NA_peak_29120	SLC25A37 (-8704)
NA_peak_10412	SYNM (+38297)
NA_peak_13379	GRIN2D (+12741)
NA_peak_28869	PRKAG2 (+84590)
NA_peak_31166	SMC5 (+46008)
NA_peak_27317	TMEM196 (+25391)
NA_peak_26959	EZR (+4262)
NA_peak_26584	AHI1 (-23340)
NA_peak_19086	NONE
NA_peak_18920	NONE
NA_peak_15164	ACVR1C (+41282)
NA_peak_13065	NONE
NA_peak_363	OSBPL9 (+24820)
NA_peak_6576	NONE
NA_peak_3145	CSTF2T (+56799)
NA_peak_5387	KMT2A (-1311)
NA_peak_14297	NONE
NA_peak_12011	SOX9 (-95801)
NA_peak_2872	GPR158 (+87071)
NA_peak_9388	FOXN3 (+75562)
NA_peak_27557	NONE
NA_peak_28170	CDK6 (-19672)
NA_peak_12368	CABYR (-25750)
NA_peak_4112	EBF3 (+70648)
NA_peak_18249	NONE
NA_peak_16681	RPRD1B (+49550)
NA_peak_32902	TNMD (-72090)
NA_peak_26604	IL20RA (+20657)
NA_peak_24140	NONE
NA_peak_22273	ASB5 (+16953)
NA_peak_21729	NONE
NA_peak_18275	NONE
NA_peak_15184	TANC1 (+3883)
NA_peak_7198	NONE
NA_peak_7177	SACS (-37736)
NA_peak_4851	NONE
NA_peak_4534	NONE
NA_peak_4381	LGR4 (+98273)
NA_peak_5369	CADM1 (+28674)
NA_peak_2898	RAB18 (+92698)
NA_peak_19050	ACPP (-48762)
NA_peak_6398	NONE
NA_peak_23346	THBS4 (+48431)
NA_peak_29363	ZMAT4 (-96021)
NA_peak_14054	NONE
NA_peak_16526	SCP2D1 (+97781)
NA_peak_6499	PPP1R12A (-42772)
NA_peak_1778	NONE
NA_peak_13882	NONE
NA_peak_27765	ASL (-41404)
NA_peak_31292	NONE
NA_peak_11659	ATP5G1 (-20966)
NA_peak_11147	RTN4RL1 (+26800)
NA_peak_29176	PTK2B (+4087)
NA_peak_25152	HIST1H1C (+1483)
NA_peak_33317	NONE
NA_peak_19363	PLCH1 (+70260)
NA_peak_19266	WWTR1 (+32441)
NA_peak_7071	BCL7A (+4119)
NA_peak_27330	ABCB5 (-97010)
NA_peak_23767	NONE
NA_peak_7887	NONE
NA_peak_6693	POC1B-GALNT4 (-63773)
NA_peak_3452	NONE
NA_peak_11421	NF1 (+60569)
NA_peak_19731	NONE
NA_peak_10228	KIAA1199 (+17278)
NA_peak_276	BMP8A (-3687)
NA_peak_28472	CAPZA2 (-52741)
NA_peak_15907	PLEKHM3 (+72429)
NA_peak_5523	NONE
NA_peak_27119	NONE
NA_peak_14590	DPP10 (+47017)
NA_peak_2552	ZNF692 (-48241)
NA_peak_20852	SEPT11 (-92442)
NA_peak_9411	CCDC88C (+20715)
NA_peak_7028	C12orf49 (+75403)
NA_peak_11629	SNX11 (+55845)
NA_peak_10353	NONE
NA_peak_32522	NONE
