# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
NA_peak_1	OR4F5 (-26466)
NA_peak_105	KAZN (-52056), PRDM2 (+841794)
NA_peak_106	TMEM51 (-419139), KAZN (+134689)
NA_peak_107	TMEM51 (-372903), KAZN (+180925)
NA_peak_108	TMEM51 (-354206), KAZN (+199622)
NA_peak_109	TMEM51 (-58981), KAZN (+494847)
NA_peak_110	EFHD2 (-207603), TMEM51 (+49760)
NA_peak_111	EFHD2 (-154481), TMEM51 (+102882)
NA_peak_112	EFHD2 (-127454), TMEM51 (+129909)
NA_peak_113	EFHD2 (-41558), TMEM51 (+215805)
NA_peak_114	CELA2B (-18220), CELA2A (+1152)
NA_peak_115	DDI2 (-388)
NA_peak_116	PLEKHM2 (-22745), RSC1A1 (+1718)
NA_peak_117	PLEKHM2 (-15898), RSC1A1 (+8565)
NA_peak_118	PLEKHM2 (-12690), RSC1A1 (+11773)
NA_peak_119	SPEN (-45455), FBLIM1 (+37910)
NA_peak_120	SPEN (-44377), FBLIM1 (+38988)
NA_peak_121	SPEN (+1543), ZBTB17 (+126719)
NA_peak_122	EPHA2 (+8816), CLCNKB (+103494)
NA_peak_123	RSG1 (-57912), SPATA21 (+142350)
NA_peak_124	RSG1 (-114255), SPATA21 (+86007)
NA_peak_125	NBPF1 (+34514), NECAP2 (+138237)
NA_peak_126	CROCC (-173655), NBPF1 (-134808)
NA_peak_127	CROCC (-154735), NBPF1 (-153728)
NA_peak_128	NBPF1 (-173106), CROCC (-135357)
NA_peak_129	PADI1 (-3914)
NA_peak_130	ACTL8 (-19265), ARHGEF10L (+196213)
NA_peak_131	KLHDC7A (-181362), IGSF21 (+191822)
NA_peak_132	KLHDC7A (-82204), IGSF21 (+290980)
NA_peak_133	PAX7 (-88462), KLHDC7A (+61614)
NA_peak_134	PAX7 (+5857), TAS1R2 (+222819)
NA_peak_135	PAX7 (+100067), TAS1R2 (+128609)
NA_peak_136	TAS1R2 (+110633), PAX7 (+118043)
NA_peak_137	ALDH4A1 (-4526)
NA_peak_138	PQLC2 (+26486), CAPZB (+146671)
NA_peak_139	CAMK2N1 (+27924), VWA5B1 (+167377)
NA_peak_140	CAMK2N1 (+6087), VWA5B1 (+189214)
NA_peak_141	HP1BP3 (-92756), EIF4G3 (+297406)
NA_peak_142	HP1BP3 (-228597), EIF4G3 (+161565)
NA_peak_143	HP1BP3 (-255765), EIF4G3 (+134397)
NA_peak_144	HP1BP3 (-281082), EIF4G3 (+109080)
NA_peak_145	HP1BP3 (-314999), EIF4G3 (+75163)
NA_peak_146	HP1BP3 (-387321), EIF4G3 (+2841)
NA_peak_147	HP1BP3 (-388450), EIF4G3 (+1712)
NA_peak_148	EIF4G3 (-73754), ECE1 (+39885)
NA_peak_149	EIF4G3 (-75205), ECE1 (+38434)
NA_peak_150	NBPF3 (-118536), ECE1 (-31113)
NA_peak_151	RAP1GAP (+28078), ALPL (+114405)
NA_peak_152	RAP1GAP (-124248), USP48 (+7503)
NA_peak_153	CELA3B (-3917)
NA_peak_154	CELA3A (-9042), CELA3B (+15593)
NA_peak_155	CELA3A (-3633)
NA_peak_156	CDC42 (-33036), CELA3A (+17976)
NA_peak_157	WNT4 (-164312), ZBTB40 (-144573)
NA_peak_158	WNT4 (-245159), ZBTB40 (-63726)
NA_peak_159	WNT4 (-300392), ZBTB40 (-8493)
NA_peak_160	EPHA8 (-75924), ZBTB40 (+35789)
NA_peak_161	EPHA8 (-60167), ZBTB40 (+51546)
NA_peak_162	C1QA (+717)
NA_peak_163	KDM1A (-218663), EPHB2 (+89860)
NA_peak_164	LUZP1 (-1383)
NA_peak_165	LUZP1 (-6980), HTR1D (+9941)
NA_peak_166	HTR1D (-23186), HNRNPR (+126395)
NA_peak_167	HNRNPR (-139)
NA_peak_168	ZNF436 (-42483), TCEA3 (+12815)
NA_peak_169	TCEB3 (-14972), RPL11 (+36404)
NA_peak_170	PNRC2 (-3246), CNR2 (+2493)
NA_peak_171	SRSF10 (-4273)
NA_peak_172	SRSF10 (-29257), MYOM3 (+102599)
NA_peak_173	SRSF10 (-35154), MYOM3 (+96702)
NA_peak_174	STPG1 (+34515), GRHL3 (+61157)
NA_peak_175	STPG1 (+10246), GRHL3 (+85426)
NA_peak_176	STPG1 (-1344), NIPAL3 (+647)
NA_peak_177	RCAN3 (-39252), NIPAL3 (+47851)
NA_peak_178	RCAN3 (-21131), NIPAL3 (+65972)
NA_peak_179	NCMAP (-3813)
NA_peak_180	NCMAP (-531)
NA_peak_181	SRRM1 (-31)
NA_peak_182	CLIC4 (+30606), RUNX3 (+189047)
NA_peak_183	CLIC4 (+104946), RUNX3 (+114707)
NA_peak_184	RUNX3 (-109196), SYF2 (+158287)
NA_peak_185	RUNX3 (-244021), SYF2 (+23462)
NA_peak_186	SEPN1 (-170282), MAN1C1 (+12426)
NA_peak_187	SEPN1 (-100210), MAN1C1 (+82498)
NA_peak_188	SEPN1 (-92793), MAN1C1 (+89915)
NA_peak_189	SEPN1 (-85691), MAN1C1 (+97017)
NA_peak_190	PDIK1L (-1686)
NA_peak_191	ZNF593 (-35231), PDIK1L (+22803)
NA_peak_192	CD52 (-15436), SH3BGRL3 (+23345)
NA_peak_193	DHDDS (-13636), LIN28A (+7941)
NA_peak_194	PIGV (-86978), ARID1A (+5184)
NA_peak_195	PIGV (-38705), ARID1A (+53457)
NA_peak_196	PIGV (-28478), ARID1A (+63684)
NA_peak_197	TRNP1 (-48322), NUDC (+23659)
NA_peak_198	WDTC1 (-71050), SLC9A1 (-8708)
NA_peak_199	TMEM222 (-68196), WDTC1 (+19296)
NA_peak_200	WASF2 (-98244), AHDC1 (+15230)
NA_peak_201	FGR (-19787), IFI6 (+17114)
NA_peak_202	PPP1R8 (-8263), STX12 (+49332)
NA_peak_203	MED18 (-62829), SESN2 (+6682)
NA_peak_204	PHACTR4 (-24470), MED18 (+84663)
NA_peak_205	GMEB1 (-20126), TAF12 (-5649)
NA_peak_206	EPB41 (-45431), OPRD1 (+29518)
NA_peak_207	EPB41 (+88330), TMEM200B (+147080)
NA_peak_208	MECR (+427)
NA_peak_209	PTPRU (+264869)
NA_peak_210	PTPRU (+573192)
NA_peak_211	PTPRU (+634821), MATN1 (+998585)
NA_peak_212	MATN1 (+799315), PTPRU (+834091)
NA_peak_213	MATN1 (+655256), PTPRU (+978150)
NA_peak_214	MATN1 (+472524)
NA_peak_215	MATN1 (+376545)
NA_peak_216	SDC3 (-42177), PUM1 (+114757)
NA_peak_217	SDC3 (-116607), PUM1 (+40327)
NA_peak_218	SDC3 (-118723), PUM1 (+38211)
NA_peak_219	PUM1 (-118398), NKAIN1 (+55461)
NA_peak_220	TINAGL1 (-119290), SERINC2 (+40434)
NA_peak_221	TINAGL1 (-66151), SERINC2 (+93573)
NA_peak_222	TINAGL1 (-64354), SERINC2 (+95370)
NA_peak_223	TINAGL1 (-46495), SERINC2 (+113229)
NA_peak_224	BAI2 (-44791), SPOCD1 (+7225)
NA_peak_225	SPOCD1 (-59967), PTP4A2 (+62369)
NA_peak_226	SPOCD1 (-103090), PTP4A2 (+19246)
NA_peak_227	SPOCD1 (-112756), PTP4A2 (+9580)
NA_peak_228	PTP4A2 (-1865)
NA_peak_229	TMEM39B (-49966), KHDRBS1 (+9107)
NA_peak_230	TXLNA (-414)
NA_peak_231	ZBTB8B (-473)
NA_peak_232	ZBTB8A (-64275), ZBTB8B (+10083)
NA_peak_233	ZBTB8A (-30225), ZBTB8B (+44133)
NA_peak_234	RBBP4 (+965)
NA_peak_235	TRIM62 (-43866), ZNF362 (-31041)
NA_peak_236	TRIM62 (-51619), ZNF362 (-23288)
NA_peak_237	A3GALT2 (-21364), PHC2 (+33131)
NA_peak_238	PHC2 (-48900), ZSCAN20 (-48152)
NA_peak_239	CSMD2 (+127010), HMGB4 (+178332)
NA_peak_240	GJB5 (-368884), C1orf94 (+208493)
NA_peak_241	GJB5 (-264551), C1orf94 (+312826)
NA_peak_242	GJB5 (-98165), C1orf94 (+479212)
NA_peak_243	ZMYM4 (+52043), KIAA0319L (+236403)
NA_peak_244	ZMYM4 (+138975), KIAA0319L (+149471)
NA_peak_245	KIAA0319L (+44960), ZMYM4 (+243486)
NA_peak_246	KIAA0319L (+29598), ZMYM4 (+258848)
NA_peak_247	PSMB2 (-8276), CLSPN (+119808)
NA_peak_248	CLSPN (-27981), AGO4 (-10263)
NA_peak_249	AGO1 (-27739), AGO4 (+47298)
NA_peak_250	COL8A2 (-9919), TRAPPC3 (+14330)
NA_peak_251	EVA1B (+33182), THRAP3 (+66556)
NA_peak_252	MRPS15 (-937)
NA_peak_253	CSF3R (-112223), GRIK3 (+438624)
NA_peak_254	CSF3R (-288395), GRIK3 (+262452)
NA_peak_255	CSF3R (-292948), GRIK3 (+257899)
NA_peak_256	CSF3R (-535523), GRIK3 (+15324)
NA_peak_257	MEAF6 (+2819), ZC3H12A (+37392)
NA_peak_258	MANEAL (-2907)
NA_peak_259	INPP5B (-24004), SF3A3 (+19866)
NA_peak_260	POU3F1 (-30059), RRAGC (+782986)
NA_peak_261	POU3F1 (-219562), RRAGC (+593483)
NA_peak_262	POU3F1 (-270895), RRAGC (+542150)
NA_peak_263	POU3F1 (-391209), RRAGC (+421836)
NA_peak_264	POU3F1 (-428750), RRAGC (+384295)
NA_peak_265	RHBDL2 (-59366), AKIRIN1 (-5020)
NA_peak_266	NDUFS5 (-33732), AKIRIN1 (+1363)
NA_peak_267	MACF1 (-31028), NDUFS5 (+26016)
NA_peak_268	MACF1 (-29591), NDUFS5 (+27453)
NA_peak_269	MACF1 (-26857), NDUFS5 (+30187)
NA_peak_270	BMP8A (-338499), MACF1 (+69785)
NA_peak_271	BMP8A (-317032), MACF1 (+91252)
NA_peak_272	BMP8A (-303025), MACF1 (+105259)
NA_peak_273	BMP8A (-262188), MACF1 (+146096)
NA_peak_274	BMP8A (-125063), MACF1 (+283221)
NA_peak_275	BMP8A (-92817), MACF1 (+315467)
NA_peak_276	BMP8A (-3687)
NA_peak_277	CAP1 (-66470), MFSD2A (+18613)
NA_peak_278	ZFP69B (-65836), SMAP2 (+10574)
NA_peak_279	ZFP69 (-4637)
NA_peak_280	RIMS3 (+13696), ZNF684 (+120400)
NA_peak_281	RIMS3 (+11459), ZNF684 (+122637)
NA_peak_282	KCNQ4 (-63813), NFYC (+28483)
NA_peak_283	KCNQ4 (-1475)
NA_peak_284	CTPS1 (-59688), CITED4 (-57301)
NA_peak_285	CITED4 (-64328), CTPS1 (-52661)
NA_peak_286	SLFNL1 (-129698), SCMH1 (+8497)
NA_peak_287	SCMH1 (-191034), FOXO6 (-9456)
NA_peak_288	GUCA2B (-177975), HIVEP3 (-56948)
NA_peak_289	HIVEP3 (-154946), GUCA2B (-79977)
NA_peak_290	GUCA2A (-79866), FOXJ3 (+90381)
NA_peak_291	GUCA2A (-160442), FOXJ3 (+9805)
NA_peak_292	PPCS (-4642), ZMYND12 (+4350)
NA_peak_293	PPIH (-119423), PPCS (+82443)
NA_peak_294	YBX1 (-15)
NA_peak_295	YBX1 (+3643), CLDN19 (+54184)
NA_peak_296	YBX1 (+8682), CLDN19 (+49145)
NA_peak_297	CLDN19 (+27197), YBX1 (+30630)
NA_peak_298	ZNF691 (+28426), SLC2A1 (+83768)
NA_peak_299	SLC2A1 (-85926), EBNA1BP2 (+127814)
NA_peak_300	TMEM125 (-532)
NA_peak_301	CDC20 (-17999), MPL (+3207)
NA_peak_302	KDM4A (-9876), PTPRF (+109406)
NA_peak_303	ERI3 (+18361), DMAP1 (+123356)
NA_peak_304	ERI3 (-43968), RNF220 (-6018)
NA_peak_305	RNF220 (+4310), TMEM53 (+265051)
NA_peak_306	RNF220 (+46163), TMEM53 (+223198)
NA_peak_307	RNF220 (+95291), TMEM53 (+174070)
NA_peak_308	TMEM53 (+57368), RNF220 (+211993)
NA_peak_309	TMEM53 (-2827)
NA_peak_310	KIF2C (-57550), TMEM53 (-7715)
NA_peak_311	EIF2B3 (-8096), HECTD3 (+16623)
NA_peak_312	UROD (+15033), ZSWIM5 (+179376)
NA_peak_313	ZSWIM5 (+35159), UROD (+159250)
NA_peak_314	NASP (+17135), GPBP1L1 (+85435)
NA_peak_315	TMEM69 (-4533), GPBP1L1 (+3949)
NA_peak_316	TMEM69 (-2518), GPBP1L1 (+1934)
NA_peak_317	MAST2 (+47445), PIK3R3 (+281584)
NA_peak_318	PIK3R3 (+153247), MAST2 (+175782)
NA_peak_319	PIK3R3 (+13002), MAST2 (+316027)
NA_peak_320	FAAH (-52974), NSUN4 (+1114)
NA_peak_321	FAAH (-29529), NSUN4 (+24559)
NA_peak_322	DMBX1 (-23380), FAAH (+89352)
NA_peak_323	TEX38 (+10068), EFCAB14 (+37168)
NA_peak_324	TEX38 (+16998), EFCAB14 (+30238)
NA_peak_325	CYP4B1 (-63060), EFCAB14 (-16922)
NA_peak_326	CYP4B1 (-44384), EFCAB14 (-35598)
NA_peak_327	CYP4A22 (-36274), CYP4Z1 (+33693)
NA_peak_328	PDZK1IP1 (+16072), CYP4A22 (+36528)
NA_peak_329	TAL1 (-34800), STIL (+49569)
NA_peak_330	FOXD2 (+274773), TRABD2B (+286105)
NA_peak_331	TRABD2B (+271637), FOXD2 (+289241)
NA_peak_332	TRABD2B (+134923), FOXD2 (+425955)
NA_peak_333	SLC5A9 (-174165), TRABD2B (-51627)
NA_peak_334	SLC5A9 (-172228), TRABD2B (-53564)
NA_peak_335	SLC5A9 (-123881), TRABD2B (-101911)
NA_peak_336	TRABD2B (-144048), SLC5A9 (-81744)
NA_peak_337	SPATA6 (-169070), BEND5 (+135675)
NA_peak_338	SPATA6 (-301999), BEND5 (+2746)
NA_peak_339	BEND5 (-14217)
NA_peak_340	BEND5 (-53850)
NA_peak_341	BEND5 (-67524)
NA_peak_342	BEND5 (-87181)
NA_peak_343	BEND5 (-184485)
NA_peak_344	BEND5 (-385985), AGBL4 (+861010)
NA_peak_345	BEND5 (-814248), AGBL4 (+432747)
NA_peak_346	ELAVL4 (+69672), DMRTA2 (+247536)
NA_peak_347	ELAVL4 (+72861), DMRTA2 (+244347)
NA_peak_348	DMRTA2 (-67906), FAF1 (+468857)
NA_peak_349	DMRTA2 (-214652), FAF1 (+322111)
NA_peak_350	DMRTA2 (-238642), FAF1 (+298121)
NA_peak_351	DMRTA2 (-315481), FAF1 (+221282)
NA_peak_352	DMRTA2 (-381243), FAF1 (+155520)
NA_peak_353	RNF11 (-116786), C1orf185 (+17251)
NA_peak_354	RNF11 (+11421), TTC39A (+97424)
NA_peak_355	RNF11 (+24401), TTC39A (+84444)
NA_peak_356	RNF11 (+24935), TTC39A (+83910)
NA_peak_357	TTC39A (-10193), EPS15 (+164019)
NA_peak_358	TTC39A (-36878), EPS15 (+137334)
NA_peak_359	TTC39A (-76998), EPS15 (+97214)
NA_peak_360	TTC39A (-79328), EPS15 (+94884)
NA_peak_361	TTC39A (-131593), EPS15 (+42619)
NA_peak_362	TTC39A (-164782), EPS15 (+9430)
NA_peak_363	OSBPL9 (+24820), NRD1 (+236893)
NA_peak_364	OSBPL9 (+35625), NRD1 (+226088)
NA_peak_365	OSBPL9 (+43666), NRD1 (+218047)
NA_peak_366	OSBPL9 (+73540), NRD1 (+188173)
NA_peak_367	OSBPL9 (+91495), NRD1 (+170218)
NA_peak_368	OSBPL9 (+111941), NRD1 (+149772)
NA_peak_369	NRD1 (+36372), OSBPL9 (+225341)
NA_peak_370	NRD1 (-87935), RAB3B (+24024)
NA_peak_371	NRD1 (-94931), RAB3B (+17028)
NA_peak_372	NRD1 (-98555), RAB3B (+13404)
NA_peak_373	RAB3B (-16726), KTI12 (+26326)
NA_peak_374	TXNDC12 (+661)
NA_peak_375	ZFYVE9 (-78017), TXNDC12 (-8186)
NA_peak_376	ZFYVE9 (-61944), TXNDC12 (-24259)
NA_peak_377	ZFYVE9 (-43942), TXNDC12 (-42261)
NA_peak_378	ORC1 (-102), PRPF38A (-3)
NA_peak_379	FAM159A (+5494), ECHDC2 (+282929)
NA_peak_380	FAM159A (+69239), ECHDC2 (+219184)
NA_peak_381	ECHDC2 (+100500), FAM159A (+187923)
NA_peak_382	SLC1A7 (+15367), PODN (+64997)
NA_peak_383	CPT2 (-37678), SLC1A7 (-16174)
NA_peak_384	LRP8 (-69529), DMRTB1 (-61857)
NA_peak_385	GLIS1 (+26532), DMRTB1 (+248273)
NA_peak_386	NDC1 (+112)
NA_peak_387	HSPB11 (+24099), DIO1 (+27643)
NA_peak_388	HSPB11 (-21996), LDLRAD1 (+50205)
NA_peak_389	LDLRAD1 (-11901), TMEM59 (+23407)
NA_peak_390	SSBP3 (+76958), C1orf191 (+91424)
NA_peak_391	ACOT11 (-88377), SSBP3 (-53432)
NA_peak_392	PARS2 (-115535), DHCR24 (+7169)
NA_peak_393	PARS2 (-119509), DHCR24 (+3195)
NA_peak_394	PCSK9 (+14239), USP24 (+161326)
NA_peak_395	PCSK9 (+41867), USP24 (+133698)
NA_peak_396	USP24 (+23637), PCSK9 (+151928)
NA_peak_397	USP24 (-62688)
NA_peak_398	USP24 (-270672)
NA_peak_399	USP24 (-469196), PPAP2B (+895259)
NA_peak_400	USP24 (-526073), PPAP2B (+838382)
NA_peak_401	USP24 (-689302), PPAP2B (+675153)
NA_peak_402	USP24 (-815069), PPAP2B (+549386)
NA_peak_403	PPAP2B (+331421)
NA_peak_404	PPAP2B (+251682)
NA_peak_405	PPAP2B (+247561)
NA_peak_406	PPAP2B (+43630)
NA_peak_407	PPAP2B (+12355)
NA_peak_408	PPAP2B (+2990)
NA_peak_409	PPAP2B (-59770), PRKAA2 (-5984)
NA_peak_410	PRKAA2 (-1524)
NA_peak_411	C8A (-91106), PRKAA2 (+118378)
NA_peak_412	C8A (-86623), PRKAA2 (+122861)
NA_peak_413	C8A (-101)
NA_peak_414	C8A (+1585), C8B (+109624)
NA_peak_415	C8B (+43606), C8A (+67603)
NA_peak_416	C8B (-123738), DAB1 (+334303)
NA_peak_417	C8B (-135597), DAB1 (+322444)
NA_peak_418	C8B (-167517), DAB1 (+290524)
NA_peak_419	C8B (-277160), DAB1 (+180881)
NA_peak_420	C8B (-344004), DAB1 (+114037)
NA_peak_421	C8B (-442387), DAB1 (+15654)
NA_peak_422	C8B (-444403), DAB1 (+13638)
NA_peak_423	DAB1 (-299756), OMA1 (+822987)
NA_peak_424	DAB1 (-314764), OMA1 (+807979)
NA_peak_425	DAB1 (-351120), OMA1 (+771623)
NA_peak_426	DAB1 (-901862), OMA1 (+220881)
NA_peak_427	DAB1 (-921386), OMA1 (+201357)
NA_peak_428	DAB1 (-972264), OMA1 (+150479)
NA_peak_429	OMA1 (-4744)
NA_peak_430	OMA1 (-11178), TACSTD2 (+19516)
NA_peak_431	TACSTD2 (-74867), MYSM1 (+47731)
NA_peak_432	MYSM1 (-42495), JUN (+41526)
NA_peak_433	MYSM1 (-54551), JUN (+29470)
NA_peak_434	FGGY (-485576), JUN (-27292)
NA_peak_435	JUN (-330131), FGGY (-182737)
NA_peak_436	JUN (-344671), FGGY (-168197)
NA_peak_437	JUN (-348465), FGGY (-164403)
NA_peak_438	JUN (-415949), FGGY (-96919)
NA_peak_439	JUN (-430846), FGGY (-82022)
NA_peak_440	JUN (-502736), FGGY (-10132)
NA_peak_441	FGGY (-1825)
NA_peak_442	HOOK1 (-516270), FGGY (+1610)
NA_peak_443	HOOK1 (-495476), FGGY (+22404)
NA_peak_444	HOOK1 (-491917), FGGY (+25963)
NA_peak_445	HOOK1 (-417956), FGGY (+99924)
NA_peak_446	HOOK1 (-267063), FGGY (+250817)
NA_peak_447	HOOK1 (-192429), FGGY (+325451)
NA_peak_448	HOOK1 (-136420), FGGY (+381460)
NA_peak_449	HOOK1 (-123341), FGGY (+394539)
NA_peak_450	HOOK1 (-88071), FGGY (+429809)
NA_peak_451	HOOK1 (+36221), CYP2J2 (+75708)
NA_peak_452	HOOK1 (+37960), CYP2J2 (+73969)
NA_peak_453	HOOK1 (+44561), CYP2J2 (+67368)
NA_peak_454	CYP2J2 (+23524), HOOK1 (+88405)
NA_peak_455	CYP2J2 (-70295), C1orf87 (+76685)
NA_peak_456	CYP2J2 (-72523), C1orf87 (+74457)
NA_peak_457	NFIA (-925717), C1orf87 (-82375)
NA_peak_458	NFIA (-883306), C1orf87 (-124786)
NA_peak_459	NFIA (-807808), C1orf87 (-200284)
NA_peak_460	NFIA (-714321), C1orf87 (-293771)
NA_peak_461	C1orf87 (-596857), NFIA (-411235)
NA_peak_462	C1orf87 (-777038), NFIA (-231054)
NA_peak_463	C1orf87 (-821144), NFIA (-186948)
NA_peak_464	C1orf87 (-867712), NFIA (-140380)
NA_peak_465	C1orf87 (-887393), NFIA (-120699)
NA_peak_466	C1orf87 (-963665), NFIA (-44427)
NA_peak_467	NFIA (-4614)
NA_peak_468	NFIA (+3824), TM2D1 (+639737)
NA_peak_469	NFIA (+11784), TM2D1 (+631777)
NA_peak_470	NFIA (+70321), TM2D1 (+573240)
NA_peak_471	NFIA (+85707), TM2D1 (+557854)
NA_peak_472	NFIA (+105828), TM2D1 (+537733)
NA_peak_473	NFIA (+116625), TM2D1 (+526936)
NA_peak_474	NFIA (+147696), TM2D1 (+495865)
NA_peak_475	NFIA (+151923), TM2D1 (+491638)
NA_peak_476	NFIA (+156971), TM2D1 (+486590)
NA_peak_477	NFIA (+182286), TM2D1 (+461275)
