# GREAT version 3.0.0,Species assembly: hg19,Association rule: Two nearest genes: 1000000 bp max extension, curated regulatory domains included,,,,,,,,,,,,,,,,,,
# Ontology, Term Name , Term ID , Binom Rank , Binom Raw P-Value , Binom Bonferroni P-Value ,  Binom FDR Q-Val  , Binom Fold Enrichment , Binom Expected , Binom Observed Region Hits , Binom Genome Fraction , Binom Region Set Coverage , Hyper Rank , Hyper Raw P-Value , Hyper Bonferroni P-Value ,  Hyper FDR Q-Val  , Hyper Fold Enrichment , Hyper Expected , Hyper Observed Gene Hits , Hyper Total Genes , Hyper Gene Set Coverage , Hyper Term Gene  Coverage
Human Phenotype,Wide anterior fontanel,HP:0000260,7,6.476648E-006,0.0398054786,0.0056864969,5.09246,2.356425,12,0.00471285,0.024,133,0.0009985597,1,0.0461439693,5.005132,1.198769,6,27,0.007490637,0.2222222
Human Phenotype,Laryngomalacia,HP:0001601,8,7.055946E-006,0.0433658441,0.0054207305,4.650191,2.795584,13,0.005591168,0.026,24,3.571025E-005,0.2194751965,0.0091447999,6.006159,1.331966,8,30,0.009987516,0.2666667
Human Phenotype,Hypertelorism,HP:0000316,14,0.000046811,0.2877002216,0.0205500158,2.038659,18.14918,37,0.03629837,0.074,2,1.385135E-007,0.000851304,0.000425652,2.752823,11.98769,33,270,0.0411985,0.1222222
Human Phenotype,Hydronephrosis,HP:0000126,15,5.153553E-005,0.3167373674,0.0211158245,3.410658,4.397978,15,0.008795955,0.03,39,6.868926E-005,0.422164192,0.0108247229,4.416293,2.264342,10,51,0.01248439,0.1960784
Human Phenotype,Abnormality of the hard palate,HP:0100737,16,5.548448E-005,0.3410076141,0.0213129759,2.021666,18.30174,37,0.03660347,0.074,6,4.689468E-007,0.002882147,0.0004803578,2.659554,12.03209,32,271,0.03995006,0.1180812
Human Phenotype,Abnormality of the sense of smell,HP:0004408,17,6.478975E-005,0.3981978035,0.0234234002,3.742382,3.473724,13,0.006947447,0.026,29,5.066966E-005,0.3114157304,0.0107384735,5.067697,1.775955,9,40,0.01123596,0.225
Human Phenotype,Abnormality of the renal pelvis,HP:0010944,19,7.764639E-005,0.4772147129,0.0251165638,3.285619,4.56535,15,0.009130701,0.03,42,8.169966E-005,0.5021261104,0.0119553836,4.331365,2.308741,10,52,0.01248439,0.1923077
Human Phenotype,Cleft palate,HP:0000175,21,8.631749E-005,0.5305072935,0.0252622521,2.000046,17.99959,36,0.03599918,0.072,10,0.000001198,0.0073626745,0.0007362674,2.595598,11.9433,31,269,0.03870162,0.1152416
Human Phenotype,Abnormality of the vertebrae,HP:0003468,28,0.0001643645,1,0.0360780078,2.228693,11.66603,26,0.02333206,0.052,100,0.0004999999,1,0.0307299939,2.286609,8.746577,20,197,0.02496879,0.1015228
MSigDB Perturbation,Transcription factors expressed in progenitors of exocrine pancreatic cells.,ZHOU_PANCREATIC_EXOCRINE_PROGENITOR,8,2.433725E-005,0.081870509,0.0102338136,6.063063,1.484398,9,0.002968796,0.018,70,0.0009907855,1,0.0476143203,8.190217,0.4883876,4,11,0.004993758,0.3636364
MSigDB Perturbation,Genes correlated with classical type of glioblastoma multiforme tumors.,VERHAAK_GLIOBLASTOMA_CLASSICAL,9,3.229338E-005,0.1086349303,0.0120705478,2.101256,17.13261,36,0.03426523,0.072,26,1.22392E-005,0.0411726688,0.0015835642,2.662829,9.01297,24,203,0.02996255,0.1182266
MSigDB Perturbation,Genes up-regulated in CD34+ [GeneID=947] hematopoetic cells by expression of NUP98-HOXA9 fusion [GeneID=4928;3205] off a retroviral vector at 8 days after transduction.,TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP,18,0.0002267957,0.7629407348,0.0423855964,2.267449,10.58458,24,0.02116917,0.048,30,3.397274E-005,0.1142842974,0.0038094766,2.872073,6.615432,19,149,0.02372035,0.1275168
MSigDB Perturbation,Pubertal genes up-regulated by TGFB1 [GeneID=7040].,MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP,19,0.0002491422,0.8381143608,0.0441112821,2.131455,12.6674,27,0.0253348,0.054,27,1.656624E-005,0.0557288314,0.0020640308,2.832246,7.414611,21,167,0.02621723,0.1257485
MSigDB Perturbation,Genes with intermediate-CpG-density promoters (ICP) bearing the bivalent tri-methylation marks at H3K4 (H3K4me3) and H3K27 (H3K27me3) in MEF cells (embryonic fibroblasts).,MIKKELSEN_MEF_ICP_WITH_H3K4ME3_AND_H3K27ME3,22,0.0003071376,1,0.0469641312,3.023054,4.631078,14,0.009262156,0.028,16,4.287171E-006,0.0144220432,0.0009013777,5.927131,1.687157,10,38,0.01248439,0.2631579
